"mukey","ksat_r"
539587,4.16696963939394
539589,9.1700001
539590,14.4650004375
539592,0.92000002
539593,0.92000002
539594,0.92000002
539596,91.739998
539597,91.739998
539598,23.290001
539599,23.290001
539600,6.39000003333333
539601,6.39000003333333
539602,6.39000003333333
539603,0.5
539604,0.5
539605,0.5
539606,0.92000002
539607,4.33574345177843
539608,4.33574345177843
539609,4.33574345177843
539610,14.292
539611,14.292
539612,14.292
539613,17.9354838709677
539614,13.4193548387097
539615,13.4193548387097
539617,NA
539621,23.290001
539622,23.290001
539623,23.290001
539624,23.290001
539625,23.290001
539626,23.290001
539627,23.290001
539628,4.00828567714286
539629,21.4768419578947
539630,21.7605880941177
539631,21.7605880941177
539632,5
539633,5
539634,5
539635,5
539636,21.6011421714286
539637,21.6011421714286
539638,23.290001
539639,23.290001
539640,23.290001
539641,2.3299999
539642,2.3299999
539643,2.3299999
539644,2.3299999
539645,2.3299999
539646,2.70542562971014
539647,2.69776388012422
539650,5
539651,5
539652,5
539653,91.739998
539654,2.8199999
539655,2.8199999
539656,2.8199999
539657,2.6310842373494
539658,2.6310842373494
539660,28
539661,28
539663,NA
539665,91.739998
539666,1.82147535311475
539667,1.82147535311475
539668,1.82147535311475
539669,NA
539670,NA
539675,NA
539677,2.1628570843609
539678,2.1628570843609
539679,2.1628570843609
539680,21
539681,21
539682,21
539683,5
539685,91.739998
539688,91.739998
539689,NA
539691,9.1700001
539698,21.879999
539699,23.290001
539701,0.5
539702,0.5
539706,4.33574345177843
539707,28.23
539708,28.23
539709,28.23
539710,91.739998
539714,17.9354838709677
539716,13.4193548387097
539721,5
539722,5
539723,4.23
539729,0.92000002
539730,0.92000002
539731,0.92000002
539735,2.3299999
539736,2.3299999
539737,5
539738,5
539743,NA
539744,91.739998
539745,2.8199999
539746,2.8199999
539747,2.8199999
539749,2.8199999
539759,5
539760,2.1628570843609
539761,2.1628570843609
539762,NA
540695,50
540696,23.290001
540710,0.92000002
540715,18.1641130312057
540717,22.4052938627451
540718,23.290001
740653,NA
