"deltT","deltR","Tmn","RAINmn"
"-1","-0.2",9.2558521560575,3.00876112251882
"-1","-0.16",9.2558521560575,3.02710472279261
"-1","-0.12",9.2558521560575,3.04544832306639
"-1","-0.08",9.2558521560575,3.06379192334018
"-1","-0.04",9.2558521560575,3.08213552361396
"-1","0",9.2558521560575,3.10047912388775
"-1","0.04",9.2558521560575,3.14047912388775
"-1","0.08",9.2558521560575,3.18047912388775
"-1","0.12",9.2558521560575,3.22047912388775
"-1","0.16",9.2558521560575,3.26047912388775
"-1","0.2",9.2558521560575,3.30047912388775
"-0.8","-0.2",9.45585215605749,3.00876112251882
"-0.8","-0.16",9.45585215605749,3.02710472279261
"-0.8","-0.12",9.45585215605749,3.04544832306639
"-0.8","-0.08",9.45585215605749,3.06379192334018
"-0.8","-0.04",9.45585215605749,3.08213552361396
"-0.8","0",9.45585215605749,3.10047912388775
"-0.8","0.04",9.45585215605749,3.14047912388775
"-0.8","0.08",9.45585215605749,3.18047912388775
"-0.8","0.12",9.45585215605749,3.22047912388775
"-0.8","0.16",9.45585215605749,3.26047912388775
"-0.8","0.2",9.45585215605749,3.30047912388775
"-0.6","-0.2",9.6558521560575,3.00876112251882
"-0.6","-0.16",9.6558521560575,3.02710472279261
"-0.6","-0.12",9.6558521560575,3.04544832306639
"-0.6","-0.08",9.6558521560575,3.06379192334018
"-0.6","-0.04",9.6558521560575,3.08213552361396
"-0.6","0",9.6558521560575,3.10047912388775
"-0.6","0.04",9.6558521560575,3.14047912388775
"-0.6","0.08",9.6558521560575,3.18047912388775
"-0.6","0.12",9.6558521560575,3.22047912388775
"-0.6","0.16",9.6558521560575,3.26047912388775
"-0.6","0.2",9.6558521560575,3.30047912388775
"-0.4","-0.2",9.8558521560575,3.00876112251882
"-0.4","-0.16",9.8558521560575,3.02710472279261
"-0.4","-0.12",9.8558521560575,3.04544832306639
"-0.4","-0.08",9.8558521560575,3.06379192334018
"-0.4","-0.04",9.8558521560575,3.08213552361396
"-0.4","0",9.8558521560575,3.10047912388775
"-0.4","0.04",9.8558521560575,3.14047912388775
"-0.4","0.08",9.8558521560575,3.18047912388775
"-0.4","0.12",9.8558521560575,3.22047912388775
"-0.4","0.16",9.8558521560575,3.26047912388775
"-0.4","0.2",9.8558521560575,3.30047912388775
"-0.2","-0.2",10.0558521560575,3.00876112251882
"-0.2","-0.16",10.0558521560575,3.02710472279261
"-0.2","-0.12",10.0558521560575,3.04544832306639
"-0.2","-0.08",10.0558521560575,3.06379192334018
"-0.2","-0.04",10.0558521560575,3.08213552361396
"-0.2","0",10.0558521560575,3.10047912388775
"-0.2","0.04",10.0558521560575,3.14047912388775
"-0.2","0.08",10.0558521560575,3.18047912388775
"-0.2","0.12",10.0558521560575,3.22047912388775
"-0.2","0.16",10.0558521560575,3.26047912388775
"-0.2","0.2",10.0558521560575,3.30047912388775
"0","-0.2",10.2558521560575,3.00876112251882
"0","-0.16",10.2558521560575,3.02710472279261
"0","-0.12",10.2558521560575,3.04544832306639
"0","-0.08",10.2558521560575,3.06379192334018
"0","-0.04",10.2558521560575,3.08213552361396
"0","0",10.2558521560575,3.10047912388775
"0","0.04",10.2558521560575,3.14047912388775
"0","0.08",10.2558521560575,3.18047912388775
"0","0.12",10.2558521560575,3.22047912388775
"0","0.16",10.2558521560575,3.26047912388775
"0","0.2",10.2558521560575,3.30047912388775
"0.2","-0.2",10.4558521560575,3.00876112251882
"0.2","-0.16",10.4558521560575,3.02710472279261
"0.2","-0.12",10.4558521560575,3.04544832306639
"0.2","-0.08",10.4558521560575,3.06379192334018
"0.2","-0.04",10.4558521560575,3.08213552361396
"0.2","0",10.4558521560575,3.10047912388775
"0.2","0.04",10.4558521560575,3.14047912388775
"0.2","0.08",10.4558521560575,3.18047912388775
"0.2","0.12",10.4558521560575,3.22047912388775
"0.2","0.16",10.4558521560575,3.26047912388775
"0.2","0.2",10.4558521560575,3.30047912388775
"0.4","-0.2",10.6558521560575,3.00876112251882
"0.4","-0.16",10.6558521560575,3.02710472279261
"0.4","-0.12",10.6558521560575,3.04544832306639
"0.4","-0.08",10.6558521560575,3.06379192334018
"0.4","-0.04",10.6558521560575,3.08213552361396
"0.4","0",10.6558521560575,3.10047912388775
"0.4","0.04",10.6558521560575,3.14047912388775
"0.4","0.08",10.6558521560575,3.18047912388775
"0.4","0.12",10.6558521560575,3.22047912388775
"0.4","0.16",10.6558521560575,3.26047912388775
"0.4","0.2",10.6558521560575,3.30047912388775
"0.6","-0.2",10.8558521560575,3.00876112251882
"0.6","-0.16",10.8558521560575,3.02710472279261
"0.6","-0.12",10.8558521560575,3.04544832306639
"0.6","-0.08",10.8558521560575,3.06379192334018
"0.6","-0.04",10.8558521560575,3.08213552361396
"0.6","0",10.8558521560575,3.10047912388775
"0.6","0.04",10.8558521560575,3.14047912388775
"0.6","0.08",10.8558521560575,3.18047912388775
"0.6","0.12",10.8558521560575,3.22047912388775
"0.6","0.16",10.8558521560575,3.26047912388775
"0.6","0.2",10.8558521560575,3.30047912388775
"0.8","-0.2",11.0558521560575,3.00876112251882
"0.8","-0.16",11.0558521560575,3.02710472279261
"0.8","-0.12",11.0558521560575,3.04544832306639
"0.8","-0.08",11.0558521560575,3.06379192334018
"0.8","-0.04",11.0558521560575,3.08213552361396
"0.8","0",11.0558521560575,3.10047912388775
"0.8","0.04",11.0558521560575,3.14047912388775
"0.8","0.08",11.0558521560575,3.18047912388775
"0.8","0.12",11.0558521560575,3.22047912388775
"0.8","0.16",11.0558521560575,3.26047912388775
"0.8","0.2",11.0558521560575,3.30047912388775
"1","-0.2",11.2558521560575,3.00876112251882
"1","-0.16",11.2558521560575,3.02710472279261
"1","-0.12",11.2558521560575,3.04544832306639
"1","-0.08",11.2558521560575,3.06379192334018
"1","-0.04",11.2558521560575,3.08213552361396
"1","0",11.2558521560575,3.10047912388775
"1","0.04",11.2558521560575,3.14047912388775
"1","0.08",11.2558521560575,3.18047912388775
"1","0.12",11.2558521560575,3.22047912388775
"1","0.16",11.2558521560575,3.26047912388775
"1","0.2",11.2558521560575,3.30047912388775
